Id,Label
n1461,Eric Haze
n1462,DJ Premier
n1465,Suprême NTM
n1466,Sylk 130
n1469,Louie Louie
n1470,O.C.
n1471,Yvette Michele
n1472,Mr. Mixx
n1473,Da Roughneck Posse
n1474,Mia X
n1478,Ant Banks
n1479,J-Dubb
n1480,WC
n1483,Olu Dara
n1484,Levert
n1485,Heavy D
n1486,Vansilk
n1497,The Groove Robbers (2)
n1498,Flakey C
n1499,Def Cut
n1502,Grand Agent
n1503,Marvin Gaye
n1504,Deee-Lite
n1507,D-Flame
n1508,Tone (4)
n1511,II Tone Committee
n1512,The Casual 7
n1513,Rasheeda (2)
n1514,Blackstreet
n1515,God's Property
n1516,Kirk Franklin's Nu Nation
n1523,Hypnotize Camp Posse
n1526,Eightball (3)
n1527,Canibus
n1537,12 Gauge
n1538,Freak Nasty
n1539,1-305
n1546,M.C. Boo
n1547,Parappa The Rappa
n1548,Timbaland
n1563,Tha Eastsidaz
n1572,Shyheim
n1573,The Rugged Child
n1574,L.A.'s Own Billy The Kidd
n1577,The Flip Squad
n1578,Bobby J
n1581,The Dogs
n1582,Queen
n1583,Free (2)
n1584,South Central Cartel
n1585,Murder Squad
n1586,The Mitchell Brothers
n1587,Sway
n1588,Poison Clan
n1589,Home Team
n1590,Jiggie Gee
n1591,KC (4)
n1594,T.I.
n1595,P$C
n1596,Xzibit
n1597,Ras Kass
n1598,Da Brat
n1599,Cherish
n1600,DJ JS-1
n1601,DJ Ody-Roc
n1606,Montell Jordan
n1611,Maxi Priest
n1612,Too Short
n1615,Ying Yang Twins
n1616,Mike Jones (2)
n1617,Mr. Collipark
n1618,Bell Biv Devoe
n1619,Ralph Tresvant
n1620,Johnny Gill
n1621,Alex And The City Crew
n1622,Rick James
n1623,Dub-L
n1629,Pappa Bear
n1630,Jan Van Der Toorn
n1631,Baby J
n1632,Blade (3)
n1633,Strapt
n1634,Bushido (2)
n1635,Clinton Sparks
n1636,Mpho Skeef
n1637,T-Boz
n1640,PMD
n1644,*NSYNC
n1645,Britney Spears
n1647,Mario Winans
n1648,Enya
n1650,Black Keith
n1651,Verb
n1652,Brother Marquis
n1653,Christina Aguilera
n1654,Mr. Thing
n1655,Journalist
n1656,M.O.P.
n1659,Jazzkantine
n1660,Aleksey
n1663,Chace Infinite
n1664,Nottz
n1665,DMP (3)
n1666,Go Like This
n1667,Erick Sermon
n1668,Sy Scott
n1669,Angie Stone
n1676,Elephant Man
n1677,504 Boyz
n1678,Toni L.
n1679,The Marxmen
n1682,Topology Crew
n1689,D'Angelo
n1690,Rollie Fingers
n1691,Disturbing Tha Peace
n1694,DJ Smallz
n1695,Mr. Pookie
n1696,Mr. Lucci
n1697,Mocha
n1698,Marla Mar
n1699,The Good 'N' Plenty Cru
n1702,Gennessee
n1703,Ed O.G
n1704,Trife
n1707,MC Madness
n1708,Ruff Eyque
n1709,Underground Network
n1710,Rmxcrw
n1711,Ambush (2)
n1712,I.V.A.
n1713,Percee P
n1714,Ekim
n1715,No I.D.
n1716,Ciara (2)
n1717,Romeo
n1718,Christina Milian
n1719,Mr. No No
n1720,Saafir
n1721,Eye Cue
n1722,Oxana
n1725,Jaguar Wright
n1728,Keak Da Sneak
n1729,Turf Talk
n1730,Pushim
n1731,Chino XL
n1732,Joe
n1737,Yazoo
n1738,Mascaria
n1739,The Chemikillz
n1740,Knowself
n1741,DJ Moves
n1743,Big L
n1744,Renegade Foxxx
n1745,Pitbull
n1746,Bone Crusher (2)
n1749,Rosco P. Coldchain
n1750,Edan
n1751,Rayvon
n1752,Rhonda Davis (2)
n1757,Olivia
n1760,The Sqwad
n1761,Neek The Exotic
n1764,DJ Honda
n1765,The Murderers
n1766,Sparkle (2)
n1767,Destiny's Child
n1774,K-Rino
n1775,South Park Coalition
n1779,Ayman (2)
n1780,Keith Sweat
n1783,RL (2)
n1784,The X-Ecutioners
n1785,DJ Boogie Blind
n1788,Broadway
n1791,Beat Konducta
n1792,The Mind Clouders
n1795,The Pussycat Dolls
n1796,Will I Am
n1797,Terry Hall
n1798,H-Town
n1799,U-Mynd
n1800,Elder Chris Brinson & The Gospel Music Ministry Choir
n1801,Jon B
n1804,Symbolyc One
n1805,Illmind
n1808,Pimp C
n1809,Playa-Playa
n1810,Marques Houston
n1811,Young Rome
n1814,The Wascals
n1815,The Get Fresh Girls
n1816,Calvin Mills II
n1817,Jay Supreme
n1818,Cheryl Lynn
n1819,DJ Parker Lee
n1822,Shakira
n1828,Tamar
n1831,J. Black
n1832,Marc Mac
n1833,Visioneers
n1834,Bone Thugs-N-Harmony
n1837,Lord Tariq & Peter Gunz
n1838,DJ Abdel
n1839,DJ Djel
n1840,Artifacts
n1841,Lord Digga
n1842,DMX
n1843,Liferexall
n1844,$martyr
n1845,Sinéad O'Connor
n1846,Paul Wall
n1847,Chamillionaire
n1851,Bubba Sparxxx
n1852,Madd Rapper
n1853,Verb. T
n1854,Kashmere
n1855,D-Nice
n1862,Linkin Park
n1877,Adina Howard
n1878,Dilated Peoples
n1879,Barbershop MC's
n1882,Massive Töne
n1886,Madonna
n1891,The Product (2)
n1894,Poor Righteous Teachers
n1897,The Voodoo Guru
n1900,Jan van der Toorn
n1909,Akinyele
n1910,Sadat X
n1913,AG
n1914,The Ghetto Dwellas
n1915,Gregory D
n1916,Mannie Fresh
n1919,House Of Pain
n1920,Everlast
n1921,Outsidaz
n1922,Rah Digga
n1923,Melanie Blatt
n1930,Drag-On
n1931,Parle
n1932,Mike Nardone
n1935,Ali G
n1946,Brotha Lynch Hung
n1947,C-Bo
n1954,Solitair
n1960,Rhymefest
n1961,Kanye West
n1964,Bas-1
n1965,DJ DW
n1966,Fanatik
n1967,Rhettmatic
n1970,Plattenpapzt
n1971,MC Spontan
n1972,Tefla & Jaleel
n1973,Beyoncé
n1976,Heather B.
n1977,Ajax (6)
n1978,Hot Rod
n1982,Key-Kool
n1984,Lil' Mo
n1985,Lil Wayne
n1986,Nolto
