v_name,pageranks,
Major Mackerel,0,
Makeda,0,
Ma Futura,0,
Hylton Smythe,0,
Fallacy,0,
Tubby T,0,
Anjali (2),0,
Preshuz T.,0,
Rockwell Noel,0,
The Poet,0,
Powerful Juvenile,0,
DJ Adam 12,0,
2 Brothers On The 4th Floor,0,
Des'Ray,0,
D-Rock,0,
747,0,
Israel Ortiz,0,
George Clinton,0,
P-Funk All Stars,0,
Zed Bias,0,
DJ Injekta,0,
Phuturistix,0,
The Weather (5),0,
Daedelus,0,
Urbanus,0,
Kris Kastaar,0,
DJ Yoda,0,
People Under The Stairs,0,
Kwamé,0,
A New Beginning,0,
J.V.C. F.O.R.C.E.,0,
Tall Dark & Handsome,0,
UTFO,0,
Promoe,0,
Timbuktu,0,
Breakestra,0,
Mr. Dibbs,0,
Per Cussion All Stars,0,
Grandmaster Funk,0,
The Wax Warriors,0,
Butchwax,0,
The Wax Fondler,0,
Sixtoo,0,
Simahlak,0,
Dejavue,0,
Black Kappa,0,
T Love,0,
This Kid Named Miles,0,
Time Zone,0,
Master Jay,0,
Michael Dee,0,
LG (2),0,
Lopez (2),0,
Indelible Mc's,0,
BMS,0,
Bone Idols,0,
Aphletik,0,
Ukai Seiji,0,
Gebo (2),0,
Jewel-T,0,
LTC,0,
Vandy C,0,
Bill Blast,0,
Doctor Ice,0,
T Funk,0,
Ultimate II,0,
Speedy J (2),0,
Hot Day,0,
Super Kids,0,
The Prof.,0,
The Super Villain,0,
ed 209,0,
eyezofman,0,
Cappo,0,
A-Bomb,0,
Greg G,0,
T Money,0,
Robbie B,0,
Jazzy J,0,
Disco Twins,0,
Starchild (17),0,
La La The Leader Of The Pack,0,
MC Flash (2),0,
MC Breeze (2),0,
DJ Hand Master Flash,0,
Phi-Life Cypher,0,
Task Force (2),0,
Ben Chapman,0,
Tommy Evans,0,
Arro,0,
Doctor Rocx And Co.,0,
Imperial King Roc,0,
Devastatin' Dee,0,
Lidell Townsell,0,
The People (3),0,
Rasco,0,
Flii,0,
Octavius,0,
4AM (2),0,
E-Type,0,
Stakka Bo,0,
Big Scoob,0,
Scrap Lover,0,
Sean Bennett,0,
Ninja D,0,
Mr. Mister KG,0,
Architects Of Intellect,0,
God Complex,0,
Dr. Freshh,0,
Grandmaster Freshh,0,
4 Killer M.C.'s,0,
